Directory/Path traversal,Directory-Path-File
Example file active rule,Directory-Path-File
Example file passive rule,Directory-Path-File
Example simple active rule,Directory-Path-File
Example simple passive rule,Directory-Path-File
IBM WebSphere default files [Deprecated],Directory-Path-File
IIS default file [Deprecated],Directory-Path-File
Lotus Domino default files [Deprecated],Directory-Path-File
Macromedia JRun default files [Deprecated],Directory-Path-File
Obsolete file [Deprecated],Directory-Path-File
Obsolete file extended check [Deprecated],Directory-Path-File
Potential File Path Manipulation,Directory-Path-File
Private IP disclosure,Directory-Path-File
Relative Path Confusion,Directory-Path-File
Remote File Inclusion,Directory-Path-File
Tomcat source file disclosure [Deprecated],Directory-Path-File
Viewstate scanner,Directory-Path-File
WSDL File Detection,Directory-Path-File
Absence of Anti-CSRF Tokens,Header
Anti CSRF Tokens Scanner,Header
Apache Range Header DoS (CVE-2011-3192),Header
Charset Mismatch,Header
Content Security Policy (CSP) Header Not Set,Header
Content-Type header missing,Header
Cross Site Request Forgery [Deprecated],Header
Hash Disclosure,Header
Httpoxy - Proxy Header Misuse,Header
Session ID in URL rewrite,Header
Timestamp Disclosure,Header
User controllable charset,Header
User controllable HTML element attribute (potential XSS),Header
Web Browser XSS Protection Not Enabled,Header
X-Backend-Server Header Information Leak,Header
X-ChromeLogger-Data Header Information Leak,Header
X-Content-Type-Options header missing,Header
X-Frame-Options header not set,Header
Beast (via HTTPS Info Extension),HTTP
Big Redirect Response,HTTP
Blank link target,HTTP
Client/Server HTTP Error Response Codes [Script],HTTP
Crime (via HTTPS Info Extension),HTTP
Freak (via HTTPS Info Extension),HTTP
Fuzzer HTTP Processor scripts,HTTP
Heartbleed OpenSSL Vulnerability,HTTP
Http Only Site,HTTP
HTTP Parameter Override,HTTP
HTTP Parameter Pollution,HTTP
Http Parameter Pollution (Client Side),HTTP
Http Parameter Pollution (Server Side),HTTP
HTTP to HTTPS insecure transition in form post,HTTP
HTTPS Content Available via HTTP,HTTP
HTTPS to HTTP insecure transition in form post,HTTP
Insecure HTTP Method,HTTP
Open redirect,HTTP
Robot (via HTTPS Info Extension),HTTP
Secure pages including mixed content,HTTP
Server Leaks Information via "X-AspNet-Version"/"X-AspNetMvc-Version" HTTP Response Header Field(s),HTTP
Server Leaks Information via "X-Powered-By" HTTP Response Header Field(s),HTTP
Server Leaks Version Information via "Server" HTTP Response Header Field,HTTP
Strict-Transport-Security Header Not Set,HTTP
Unexpected Content Types [Script],HTTP
URL Redirector Abuse,HTTP
Weak HTTP authentication over an unsecured connection [Deprecated],HTTP
Username Hash iDOR Scanner,HTTP | Header | Cookie
NoSQL Injection MongoDB,No SQL Injection
Source Code Disclosure,Source Code Disclosure
Source Code Disclosure - CVE-2012-1823,Source Code Disclosure
Source Code Disclosure - File Inclusion,Source Code Disclosure
Source Code Disclosure - Git,Source Code Disclosure
Source Code Disclosure - SVN,Source Code Disclosure
Source Code Disclosure - WEB-INF folder,Source Code Disclosure
Untrusted domains in JavaScript source code,Source Code Disclosure
Generic Padding Oracle,SQL Injection
MS SQL Injection Enumeration [Deprecated],SQL Injection
Oracle SQL Injection Enumeration [Deprecated],SQL Injection
SQL Injection,SQL Injection
SQL Injection [Deprecated],SQL Injection
SQL Injection Fingerprinting [Deprecated],SQL Injection
SQL Injection Hypersonic,SQL Injection
SQL Injection MsSQL,SQL Injection
SQL Injection MySQL,SQL Injection
SQL Injection Oracle,SQL Injection
SQL Injection Postgresql,SQL Injection
SQL Injection SQLite,SQL Injection
SQL Injection SQLMap,SQL Injection
Expression Language Injection,XPath Injection
Xpath Injection,XPath Injection
XXE External Entity,XPath Injection
SOAP XML Injection,XSLT Injection
XSLT Injection,XSLT Injection
